ID,Land_Cover_Type,Land_Cover_QC
SLD00001,2.0,0.0
SLD00002,8.0,0.0
SLD00003,8.0,0.0
SLD00004,8.0,0.0
SLD00005,8.0,0.0
SLD00006,8.0,0.0
SLD00007,8.0,0.0
SLD00008,8.0,0.0
SLD00009,8.0,0.0
SLD00010,8.0,0.0
SLD00011,2.0,0.0
SLD00012,8.0,0.0
SLD00013,8.0,0.0
SLD00014,2.0,0.0
SLD00015,2.0,0.0
SLD00016,8.0,0.0
SLD00017,8.0,0.0
SLD00018,2.0,0.0
SLD00019,8.0,0.0
SLD00020,8.0,0.0
SLD00021,2.0,0.0
SLD00022,8.0,0.0
SLD00023,8.0,0.0
SLD00024,8.0,0.0
SLD00025,8.0,0.0
SLD00026,8.0,0.0
SLD00027,8.0,0.0
SLD00028,2.0,0.0
SLD00029,8.0,0.0
SLD00030,2.0,0.0
SLD00031,2.0,0.0
SLD00032,2.0,0.0
SLD00033,2.0,0.0
SLD00034,2.0,0.0
SLD00035,2.0,0.0
SLD00036,2.0,0.0
SLD00037,2.0,0.0
SLD00038,2.0,0.0
SLD00039,8.0,0.0
SLD00040,2.0,0.0
SLD00041,14.0,0.0
SLD00042,2.0,0.0
SLD00043,2.0,0.0
SLD00044,8.0,0.0
SLD00045,8.0,0.0
SLD00046,8.0,0.0
SLD00047,8.0,0.0
SLD00048,2.0,0.0
SLD00049,2.0,0.0
SLD00050,8.0,0.0
SLD00051,8.0,0.0
SLD00052,2.0,0.0
SLD00053,8.0,0.0
SLD00054,8.0,0.0
SLD00055,2.0,0.0
SLD00056,2.0,0.0
SLD00057,8.0,0.0
SLD00058,2.0,0.0
SLD00059,2.0,0.0
SLD00060,2.0,0.0
SLD00061,2.0,0.0
SLD00062,8.0,0.0
SLD00063,9.0,0.0
SLD00064,2.0,0.0
SLD00065,2.0,0.0
SLD00066,2.0,0.0
SLD00067,2.0,0.0
SLD00068,2.0,0.0
SLD00069,2.0,0.0
SLD00070,2.0,0.0
SLD00071,2.0,0.0
SLD00072,2.0,0.0
SLD00073,8.0,0.0
SLD00074,8.0,0.0
SLD00075,8.0,0.0
SLD00076,8.0,0.0
SLD00077,8.0,0.0
SLD00078,8.0,0.0
SLD00079,8.0,0.0
SLD00080,8.0,0.0
SLD00081,8.0,0.0
SLD00082,8.0,0.0
SLD00083,8.0,0.0
SLD00084,8.0,0.0
SLD00085,8.0,0.0
SLD00086,2.0,0.0
SLD00087,8.0,0.0
SLD00088,8.0,0.0
SLD00089,8.0,0.0
SLD00090,8.0,0.0
SLD00091,2.0,0.0
SLD00092,8.0,0.0
SLD00093,2.0,0.0
SLD00094,2.0,0.0
SLD00095,2.0,0.0
SLD00096,2.0,0.0
SLD00097,2.0,0.0
SLD00098,2.0,0.0
SLD00099,2.0,0.0
SLD00100,2.0,0.0
SLD00101,2.0,0.0
SLD00102,8.0,0.0
SLD00103,2.0,0.0
SLD00104,2.0,0.0
SLD00105,8.0,0.0
SLD00106,2.0,0.0
SLD00107,8.0,0.0
SLD00108,2.0,0.0
SLD00109,8.0,0.0
SLD00110,8.0,0.0
SLD00111,8.0,0.0
SLD00112,2.0,0.0
SLD00113,2.0,0.0
SLD00114,2.0,0.0
SLD00115,8.0,0.0
SLD00116,2.0,0.0
SLD00117,2.0,0.0
SLD00118,8.0,0.0
SLD00119,2.0,0.0
SLD00120,2.0,0.0
SLD00121,8.0,0.0
SLD00122,8.0,0.0
SLD00123,2.0,0.0
SLD00124,8.0,0.0
SLD00125,8.0,0.0
SLD00126,8.0,0.0
SLD00127,2.0,0.0
SLD00128,8.0,0.0
SLD00129,8.0,0.0
SLD00130,8.0,0.0
SLD00131,8.0,0.0
SLD00132,2.0,0.0
SLD00133,8.0,0.0
SLD00134,8.0,0.0
SLD00135,8.0,0.0
SLD00136,8.0,0.0
SLD00137,8.0,0.0
SLD00138,2.0,0.0
SLD00139,8.0,0.0
SLD00140,8.0,0.0
SLD00141,8.0,0.0
SLD00142,2.0,0.0
SLD00143,8.0,0.0
SLD00144,2.0,0.0
SLD00145,2.0,0.0
SLD00146,8.0,0.0
SLD00147,8.0,0.0
SLD00148,2.0,0.0
SLD00149,8.0,0.0
SLD00150,8.0,0.0
SLD00151,8.0,0.0
SLD00152,9.0,0.0
SLD00153,2.0,0.0
SLD00154,8.0,0.0
SLD00155,8.0,0.0
SLD00156,2.0,0.0
SLD00157,2.0,0.0
SLD00158,2.0,0.0
SLD00159,2.0,0.0
SLD00160,2.0,0.0
SLD00161,2.0,0.0
SLD00162,8.0,0.0
SLD00163,8.0,0.0
SLD00164,8.0,0.0
SLD00165,8.0,0.0
SLD00166,2.0,0.0
SLD00167,2.0,0.0
SLD00168,2.0,0.0
SLD00169,8.0,0.0
SLD00170,8.0,0.0
SLD00171,8.0,0.0
SLD00172,8.0,0.0
SLD00173,2.0,0.0
SLD00174,8.0,0.0
SLD00175,2.0,0.0
SLD00176,2.0,0.0
SLD00177,8.0,0.0
SLD00178,8.0,0.0
SLD00179,8.0,0.0
SLD00180,8.0,0.0
SLD00181,8.0,0.0
SLD00182,8.0,0.0
SLD00183,8.0,0.0
SLD00184,8.0,0.0
SLD00185,8.0,0.0
SLD00186,8.0,0.0
SLD00187,8.0,0.0
SLD00188,8.0,0.0
SLD00189,8.0,0.0
SLD00190,8.0,0.0
SLD00191,8.0,0.0
SLD00192,8.0,0.0
SLD00193,8.0,0.0
SLD00194,8.0,0.0
SLD00195,8.0,0.0
SLD00196,8.0,0.0
SLD00197,8.0,0.0
SLD00198,8.0,0.0
SLD00199,8.0,0.0
SLD00200,8.0,0.0
SLD00201,8.0,0.0
SLD00202,2.0,0.0
SLD00203,8.0,0.0
SLD00204,8.0,0.0
SLD00205,8.0,0.0
SLD00206,8.0,0.0
SLD00207,8.0,0.0
SLD00208,8.0,0.0
SLD00209,8.0,0.0
SLD00210,8.0,0.0
SLD00211,8.0,0.0
SLD00212,8.0,0.0
SLD00213,8.0,0.0
SLD00214,8.0,0.0
SLD00215,8.0,0.0
SLD00216,8.0,0.0
SLD00217,8.0,0.0
SLD00218,8.0,0.0
SLD00219,2.0,0.0
SLD00220,2.0,0.0
SLD00221,2.0,0.0
SLD00222,8.0,0.0
SLD00223,8.0,0.0
SLD00224,2.0,0.0
SLD00225,8.0,0.0
SLD00226,2.0,0.0
SLD00227,8.0,0.0
SLD00228,2.0,0.0
SLD00229,8.0,0.0
SLD00230,2.0,0.0
SLD00231,8.0,0.0
SLD00232,2.0,0.0
SLD00233,2.0,0.0
SLD00234,8.0,0.0
SLD00235,2.0,0.0
SLD00236,12.0,0.0
SLD00237,2.0,0.0
SLD00238,8.0,0.0
SLD00239,2.0,0.0
SLD00240,8.0,0.0
SLD00241,8.0,0.0
SLD00242,8.0,0.0
SLD00243,2.0,0.0
