S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name
1,1,Landslide,8.49,77.39,Tamil Nadu,Kanyakumari,Thiruvattar,Debris,Slide,,,Balamore estate slide
2,1,Landslide,8.507778,77.189722,Kerala,Thiruvananthapuram,Kattakkada,Debris,Slide,2001.0,,Amboori
3,1,Landslide,8.507833,77.189,Kerala,Thiruvananthapuram,Kattakkada,Debris,Creep,2001.0,,Amboori
4,1,Landslide,8.508861,77.1575,Kerala,Thiruvananthapuram,Kattakkada,Debris,Flow,2000.0,,Perekonam
5,1,Landslide,8.509833,77.169139,Kerala,Thiruvananthapuram,Kattakkada,Rock,Creep,2007.0,,Kandamthitta
6,1,Landslide,8.510528,77.157944,Kerala,Thiruvananthapuram,Kattakkada,Debris,Creep,1996.0,,Paramukal
7,1,Landslide,8.519028,77.16775,Kerala,Thiruvananthapuram,Kattakkada,Debris,Flow,1989.0,,Pottanthottam
8,1,Landslide,8.54,77.47,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,,,Sengaltheri slide -1
9,1,Landslide,8.54,77.47,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,,,Sengaltheri slide -2
10,1,Landslide,8.54,77.47,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,,,Muthaliruppan slide
11,1,Landslide,8.56,77.4,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,,,Nalumukku slide
12,1,Landslide,8.58,77.43,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,,,Manjolai estate check post
13,1,Landslide,8.588778,77.099083,Kerala,Kollam,Nedumangad,Debris,Flow,1992.0,,
14,1,Landslide,8.59,77.35,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Flow,,,Oothu slide-1
15,1,Landslide,8.59,77.35,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,,,Oothu slide-2
16,1,Landslide,8.64294,77.0712,Kerala,Thiruvananthapuram,Nedumangad,Rock,Slide,2016.0,,Chettikunnu
17,1,Landslide,8.703,77.114472,Kerala,Thiruvananthapuram,Nedumangad,Debris,Creep,1993.0,,Vattakayam
18,1,Landslide,8.711083,77.143339,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1984.0,,Kallar
19,1,Landslide,8.74275,77.13425,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Merchestian Estate
20,1,Landslide,8.742944,77.132194,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Merchestian Estate
21,1,Landslide,8.743139,77.161028,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Merchestian Estate
22,1,Landslide,8.747056,77.132944,Kerala,Thiruvananthapuram,Nedumangad,Rock,Fall,1992.0,,Ponmudi
23,1,Landslide,8.747056,77.132944,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Ponmudi
24,1,Landslide,8.74875,77.130722,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1988.0,,Merchestian Estate
25,1,Landslide,8.751889,77.071,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Idinjar
26,1,Landslide,8.75475,77.125389,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,2011.0,,"Kambimoodu-Idivukovil (Between hairpin
curve 21 &22)"
27,1,Landslide,8.758972,77.114917,Kerala,Thiruvananthapuram,Nedumangad,Debris,Creep,2002.0,,Ponmudi near hair pin 22
28,1,Landslide,8.763333,77.076861,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1992.0,,Brimor-Kurisadi
29,1,Landslide,8.763333,77.109556,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,2010.0,,Ponmudi Upper Sanatorium
30,1,Landslide,8.764472,77.078611,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1992.0,,Brimor-Kurisadi
31,1,Landslide,8.766997,77.099767,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1991.0,,Bremore rubber estate
32,1,Landslide,8.768111,77.082278,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Brimor-Kurisadi
33,1,Landslide,8.807056,77.106833,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Shaghili Erattumukku
34,1,Landslide,8.807833,77.121694,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Shaghili Erattumukku
35,1,Landslide,8.809139,77.12625,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Shaghili Erattumukku
36,1,Landslide,8.832028,77.190336,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,Near Umi Ar
37,1,Landslide,8.842944,77.155417,Kerala,Kollam,Punalur,Debris,Flow,2014.0,,Near Ambakallu Mottai
38,1,Landslide,8.846797,77.176111,Kerala,Kollam,Punalur,Rock,Slide,1992.0,,Near Umi Ar
39,1,Landslide,8.871111,76.978056,Kerala,Kollam,Punalur,Debris,Slide,1984.0,,Anakulam
40,1,Landslide,8.88925,77.016916,Kerala,Thiruvananthapuram,Punalur,Debris,Slide,1992.0,,Chinikal
41,1,Landslide,8.9,77.3,Tamil Nadu,Tirunelveli,Tenkasi,Rock,Fall,,,Cortallam road Rock fall
42,1,Landslide,8.913889,76.988889,Kerala,Kollam,Punalur,Debris,Slide,2006.0,,"Uchikunnu,Kittamkonam chatuppu"
43,1,Landslide,8.944806,77.147503,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Tirthakara malai
44,1,Landslide,8.951111,77.049444,Kerala,Kollam,Punalur,Debris,Slide,2012.0,,Tekumala
45,1,Landslide,8.96125,77.135342,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,Chenkottai Kollam metergauge
46,1,Landslide,8.964111,77.139056,Kerala,Kollam,Punalur,Debris,Flow,1984.0,,"Chenkottai Kollam metergauge and
Suvaranagiri Ar."
47,1,Landslide,8.965528,77.090472,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Thenmala near 13 Tonnes Bridge
48,1,Landslide,8.968028,77.13825,Kerala,Kollam,Punalur,Debris,Flow,1984.0,,Chenkottai Kollam metergauge
49,1,Landslide,8.971278,77.155222,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Ariyankavu
50,1,Landslide,8.984111,77.131806,Kerala,Kollam,Punalur,Debris,Slide,2014.0,,Suvarnagiri
51,1,Landslide,8.984972,77.160667,Kerala,Kollam,Punalur,Debris,Flow,1986.0,,"St .George Malakkara Catholic Church ,"
52,1,Landslide,8.999222,77.13325,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,Kadamanpara
53,1,Landslide,8.999972,77.10525,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,near Anachadi
54,1,Landslide,9.0,77.092389,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Harison Malayalam
55,1,Landslide,9.0,77.17,Tamil Nadu,Tirunelveli,Shenkottai,Debris,Slide,,,
56,1,Landslide,9.000914,77.046006,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Korvantalam Debris Flow -4
57,1,Landslide,9.002625,77.042514,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Korvantalam RDebris Flow-3
58,1,Landslide,9.003225,77.041883,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,KorvantalamDebris Flow -2
59,1,Landslide,9.011014,77.037508,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Korvantalam Debris Flow -1
60,1,Landslide,9.019408,77.049903,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Chemmannutti Debris Flow -2
61,1,Landslide,9.022806,77.054992,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Chemmannutti Debris Flow -1
62,1,Landslide,9.031964,77.102208,Kerala,Kollam,Punalur,Debris,Slide,,,Ambanad Debris Slide
63,1,Landslide,9.041661,77.078336,Kerala,Kollam,Punalur,Debris,Slide,,,Taletotam Debris Slide
64,1,Landslide,9.044042,77.070014,Kerala,Kollam,Punalur,Debris,Slide,,,Taletotam Debris Slide
65,1,Landslide,9.07,77.22,Tamil Nadu,Virudhunagar,Shenkottai,Debris,Flow,1992.0,,Mekkarai slide
66,1,Landslide,9.071744,76.997411,Kerala,Kollam,Punalur,Rock,Fall,,,Kottakayam multiple Rock wedge failure
67,1,Landslide,9.074494,77.133522,Kerala,Kollam,Punalur,Debris,Slide,,,Mutala todu Debris Slide
68,1,Landslide,9.077017,77.170594,Kerala,Kollam,Punalur,Debris,Flow,,,Kumbhavurutty Debris Flow
69,1,Landslide,9.079019,77.123406,Kerala,Kollam,Punalur,Debris,Slide,,,Achankovil Debris Slide
70,1,Landslide,9.080303,77.165261,Kerala,Kollam,Konni,Debris,Flow,,,Vala Lakshmi Debris Flow
71,1,Landslide,9.082639,77.160867,Kerala,Kollam,Konni,Debris,Slide,,,Vala Lakshmi Debris Slide
72,1,Landslide,9.099117,77.100708,Kerala,Kollam,Konni,Debris,Flow,1992.0,,Achankovil Debris Flow
73,1,Landslide,9.117406,77.018122,Kerala,Kollam,Pathanapuram,Debris,Flow,1992.0,,Chempanuruvi Debris Slide
74,1,Landslide,9.121653,77.040825,Kerala,Kollam,Punalur,Debris,Slide,,,Tura Debris Slide
75,1,Landslide,9.164556,76.873031,Kerala,Pathanamthitta,Konni,Soil,Slide,,,Athirungal - Vakayar road slide
76,1,Landslide,9.164556,76.873031,Kerala,Pathanamthitta,Konni,Soil,Slide,,,Athirungal slide
77,1,Landslide,9.166425,76.879383,Kerala,Pathanamthitta,Konni,Debris,Slide,,,Kulathuman slide
78,1,Landslide,9.167267,76.861056,Kerala,Pathanamthitta,Konni,Soil,Slide,,,Kulathuman slide
79,1,Landslide,9.170292,76.873753,Kerala,Pathanamthitta,Konni,Debris,Slide,,,Muttaakkuzhi slide 2
