S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg
1,1,Landslide,8.49,77.39,Tamil Nadu,Kanyakumari,Thiruvattar,Debris,Slide,,,Balamore estate slide,1343.89306640625,17.783230513166117
2,1,Landslide,8.507778,77.189722,Kerala,Thiruvananthapuram,Kattakkada,Debris,Slide,2001.0,,Amboori,163.73048400878906,13.410020092231717
3,1,Landslide,8.507833,77.189,Kerala,Thiruvananthapuram,Kattakkada,Debris,Creep,2001.0,,Amboori,209.27227783203125,27.83904832308526
4,1,Landslide,8.508861,77.1575,Kerala,Thiruvananthapuram,Kattakkada,Debris,Flow,2000.0,,Perekonam,105.04949188232422,20.006869397307902
5,1,Landslide,8.509833,77.169139,Kerala,Thiruvananthapuram,Kattakkada,Rock,Creep,2007.0,,Kandamthitta,159.5554962158203,8.248293376265105
6,1,Landslide,8.510528,77.157944,Kerala,Thiruvananthapuram,Kattakkada,Debris,Creep,1996.0,,Paramukal,212.17132568359375,28.502491777009997
7,1,Landslide,8.519028,77.16775,Kerala,Thiruvananthapuram,Kattakkada,Debris,Flow,1989.0,,Pottanthottam,131.35472106933594,17.453596710409478
8,1,Landslide,8.54,77.47,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,,,Sengaltheri slide -1,514.9481811523438,15.546394250787944
9,1,Landslide,8.54,77.47,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,,,Sengaltheri slide -2,514.9481811523438,15.546394250787944
10,1,Landslide,8.54,77.47,Tamil Nadu,Tirunelveli,Nanguneri,Debris,Slide,,,Muthaliruppan slide,514.9481811523438,15.546394250787944
11,1,Landslide,8.56,77.4,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,,,Nalumukku slide,1454.376953125,30.62049074340015
12,1,Landslide,8.58,77.43,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,,,Manjolai estate check post,582.7560424804688,12.23375892808874
13,1,Landslide,8.588778,77.099083,Kerala,Kollam,Nedumangad,Debris,Flow,1992.0,,,86.86060333251953,11.316124498311487
14,1,Landslide,8.59,77.35,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Flow,,,Oothu slide-1,1282.458251953125,14.22998647686612
15,1,Landslide,8.59,77.35,Tamil Nadu,Tirunelveli,Ambasamudram,Debris,Slide,,,Oothu slide-2,1282.458251953125,14.22998647686612
16,1,Landslide,8.64294,77.0712,Kerala,Thiruvananthapuram,Nedumangad,Rock,Slide,2016.0,,Chettikunnu,264.9236145019531,39.74459617949392
17,1,Landslide,8.703,77.114472,Kerala,Thiruvananthapuram,Nedumangad,Debris,Creep,1993.0,,Vattakayam,148.676025390625,13.417020065693634
18,1,Landslide,8.711083,77.143339,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1984.0,,Kallar,204.77700805664062,14.956078960045833
19,1,Landslide,8.74275,77.13425,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Merchestian Estate,738.7207641601562,23.383174513060688
20,1,Landslide,8.742944,77.132194,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Merchestian Estate,712.0089721679688,22.99238393817632
21,1,Landslide,8.743139,77.161028,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Merchestian Estate,1002.9384765625,4.580612525132585
22,1,Landslide,8.747056,77.132944,Kerala,Thiruvananthapuram,Nedumangad,Rock,Fall,1992.0,,Ponmudi,794.46728515625,16.621584019903
23,1,Landslide,8.747056,77.132944,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Ponmudi,794.46728515625,16.621584019903
24,1,Landslide,8.74875,77.130722,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1988.0,,Merchestian Estate,810.9113159179688,21.96262980350847
25,1,Landslide,8.751889,77.071,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Idinjar,117.61315155029297,0.6794489227062214
26,1,Landslide,8.75475,77.125389,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,2011.0,,"Kambimoodu-Idivukovil (Between hairpin
curve 21 &22)",818.4559326171875,26.510000662197008
27,1,Landslide,8.758972,77.114917,Kerala,Thiruvananthapuram,Nedumangad,Debris,Creep,2002.0,,Ponmudi near hair pin 22,913.8173828125,20.547115316107632
28,1,Landslide,8.763333,77.076861,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1992.0,,Brimor-Kurisadi,147.45126342773438,15.13980206155908
29,1,Landslide,8.763333,77.109556,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,2010.0,,Ponmudi Upper Sanatorium,1001.9249877929688,14.706933755554719
30,1,Landslide,8.764472,77.078611,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1992.0,,Brimor-Kurisadi,161.97781372070312,24.165066399822596
31,1,Landslide,8.766997,77.099767,Kerala,Thiruvananthapuram,Nedumangad,Debris,Slide,1991.0,,Bremore rubber estate,542.3497314453125,21.896505316992787
32,1,Landslide,8.768111,77.082278,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Brimor-Kurisadi,202.0689239501953,19.485955252192106
33,1,Landslide,8.807056,77.106833,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Shaghili Erattumukku,235.4091033935547,12.155679568908594
34,1,Landslide,8.807833,77.121694,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Shaghili Erattumukku,177.47840881347656,5.269079594066238
35,1,Landslide,8.809139,77.12625,Kerala,Thiruvananthapuram,Nedumangad,Debris,Flow,1992.0,,Shaghili Erattumukku,169.60130310058594,18.701073835261713
36,1,Landslide,8.832028,77.190336,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,Near Umi Ar,1116.205810546875,18.96419627316819
37,1,Landslide,8.842944,77.155417,Kerala,Kollam,Punalur,Debris,Flow,2014.0,,Near Ambakallu Mottai,514.7325439453125,11.161029198387252
38,1,Landslide,8.846797,77.176111,Kerala,Kollam,Punalur,Rock,Slide,1992.0,,Near Umi Ar,859.2130126953125,25.256782151557417
39,1,Landslide,8.871111,76.978056,Kerala,Kollam,Punalur,Debris,Slide,1984.0,,Anakulam,120.37991333007812,27.13051123329118
40,1,Landslide,8.88925,77.016916,Kerala,Thiruvananthapuram,Punalur,Debris,Slide,1992.0,,Chinikal,265.1105041503906,21.462048330692962
41,1,Landslide,8.9,77.3,Tamil Nadu,Tirunelveli,Tenkasi,Rock,Fall,,,Cortallam road Rock fall,202.37290954589844,7.1976615846167045
42,1,Landslide,8.913889,76.988889,Kerala,Kollam,Punalur,Debris,Slide,2006.0,,"Uchikunnu,Kittamkonam chatuppu",277.6020202636719,14.67830321259512
43,1,Landslide,8.944806,77.147503,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Tirthakara malai,417.3028869628906,25.50688767085688
44,1,Landslide,8.951111,77.049444,Kerala,Kollam,Punalur,Debris,Slide,2012.0,,Tekumala,238.74942016601562,20.556077882659817
45,1,Landslide,8.96125,77.135342,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,Chenkottai Kollam metergauge,296.9835510253906,37.92750083839326
46,1,Landslide,8.964111,77.139056,Kerala,Kollam,Punalur,Debris,Flow,1984.0,,"Chenkottai Kollam metergauge and
Suvaranagiri Ar.",257.2727355957031,22.407195488189863
47,1,Landslide,8.965528,77.090472,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Thenmala near 13 Tonnes Bridge,179.42881774902344,18.794600211138093
48,1,Landslide,8.968028,77.13825,Kerala,Kollam,Punalur,Debris,Flow,1984.0,,Chenkottai Kollam metergauge,249.83905029296875,8.822283437770931
49,1,Landslide,8.971278,77.155222,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Ariyankavu,281.8752136230469,10.133336245712252
50,1,Landslide,8.984111,77.131806,Kerala,Kollam,Punalur,Debris,Slide,2014.0,,Suvarnagiri,257.0592956542969,9.446319115872992
51,1,Landslide,8.984972,77.160667,Kerala,Kollam,Punalur,Debris,Flow,1986.0,,"St .George Malakkara Catholic Church ,",329.64398193359375,31.85149668069063
52,1,Landslide,8.999222,77.13325,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,Kadamanpara,407.60528564453125,15.601113808094926
53,1,Landslide,8.999972,77.10525,Kerala,Kollam,Punalur,Debris,Slide,1992.0,,near Anachadi,452.1806945800781,0.0
54,1,Landslide,9.0,77.092389,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Harison Malayalam,,
55,1,Landslide,9.0,77.17,Tamil Nadu,Tirunelveli,Shenkottai,Debris,Slide,,,,,
56,1,Landslide,9.000914,77.046006,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Korvantalam Debris Flow -4,174.06443786621094,21.125923575948228
57,1,Landslide,9.002625,77.042514,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Korvantalam RDebris Flow-3,163.5635223388672,28.678405550677123
58,1,Landslide,9.003225,77.041883,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,KorvantalamDebris Flow -2,141.63961791992188,14.672094209354272
59,1,Landslide,9.011014,77.037508,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Korvantalam Debris Flow -1,103.7093505859375,16.350805403230417
60,1,Landslide,9.019408,77.049903,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Chemmannutti Debris Flow -2,116.66131591796875,9.896624692160614
61,1,Landslide,9.022806,77.054992,Kerala,Kollam,Punalur,Debris,Flow,1992.0,,Chemmannutti Debris Flow -1,156.19766235351562,35.66675930269485
62,1,Landslide,9.031964,77.102208,Kerala,Kollam,Punalur,Debris,Slide,,,Ambanad Debris Slide,542.3710327148438,26.076966157879234
63,1,Landslide,9.041661,77.078336,Kerala,Kollam,Punalur,Debris,Slide,,,Taletotam Debris Slide,449.2240295410156,35.490155834279484
64,1,Landslide,9.044042,77.070014,Kerala,Kollam,Punalur,Debris,Slide,,,Taletotam Debris Slide,382.6446533203125,25.93804795368227
65,1,Landslide,9.07,77.22,Tamil Nadu,Virudhunagar,Shenkottai,Debris,Flow,1992.0,,Mekkarai slide,245.96163940429688,16.400682738267772
66,1,Landslide,9.071744,76.997411,Kerala,Kollam,Punalur,Rock,Fall,,,Kottakayam multiple Rock wedge failure,95.05352020263672,30.32052426646021
67,1,Landslide,9.074494,77.133522,Kerala,Kollam,Punalur,Debris,Slide,,,Mutala todu Debris Slide,140.5631866455078,20.092367728817727
68,1,Landslide,9.077017,77.170594,Kerala,Kollam,Punalur,Debris,Flow,,,Kumbhavurutty Debris Flow,155.05682373046875,19.73132174424361
69,1,Landslide,9.079019,77.123406,Kerala,Kollam,Punalur,Debris,Slide,,,Achankovil Debris Slide,184.32281494140625,20.439897376758452
70,1,Landslide,9.080303,77.165261,Kerala,Kollam,Konni,Debris,Flow,,,Vala Lakshmi Debris Flow,96.05240631103516,2.3498224543949946
71,1,Landslide,9.082639,77.160867,Kerala,Kollam,Konni,Debris,Slide,,,Vala Lakshmi Debris Slide,110.06426239013672,10.6937067816128
72,1,Landslide,9.099117,77.100708,Kerala,Kollam,Konni,Debris,Flow,1992.0,,Achankovil Debris Flow,74.40752410888672,25.3403867758805
73,1,Landslide,9.117406,77.018122,Kerala,Kollam,Pathanapuram,Debris,Flow,1992.0,,Chempanuruvi Debris Slide,106.1607666015625,17.26980441441679
