ID,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range
SLD00001,0.8325384615384616,0.031771279967436485,0.7883,0.8817,13,0.09340000000000004
SLD00002,0.7948999999999999,0.026782105527209558,0.7358,0.8344,18,0.09860000000000002
SLD00003,0.7948999999999999,0.026782105527209558,0.7358,0.8344,18,0.09860000000000002
SLD00004,0.8007705882352941,0.042131220085375565,0.7033,0.8439,17,0.14059999999999995
SLD00005,0.7750315789473684,0.0475169332698189,0.6912,0.9225,19,0.23129999999999995
SLD00006,0.7622666666666666,0.054140003694126235,0.6485,0.8354,18,0.18690000000000007
SLD00007,0.801455,0.04848947227030451,0.6932,0.8618,20,0.16859999999999997
SLD00008,0.76063,0.07604195587063485,0.6126,0.8412,20,0.22859999999999991
SLD00009,0.76063,0.07604195587063485,0.6126,0.8412,20,0.22859999999999991
SLD00010,0.76063,0.07604195587063485,0.6126,0.8412,20,0.22859999999999991
SLD00011,0.8551166666666666,0.06386647145780476,0.7768,0.9808,18,0.20399999999999996
SLD00012,0.8046941176470588,0.044217904611540515,0.7358,0.8909,17,0.15510000000000002
SLD00013,0.8072684210526316,0.045222782515890514,0.6525,0.8542,19,0.2017
SLD00014,0.8484705882352941,0.047931588810327906,0.7677,0.9449,17,0.1771999999999999
SLD00015,0.8484705882352941,0.047931588810327906,0.7677,0.9449,17,0.1771999999999999
SLD00016,0.827475,0.04979981927678054,0.7394,0.9178,16,0.1784
SLD00017,0.8219095238095239,0.05895098730947517,0.6866,0.9229,21,0.23630000000000007
SLD00018,0.8371578947368421,0.044911076532651036,0.7595,0.9275,19,0.16800000000000004
SLD00019,0.8119176470588235,0.04570634851000071,0.7195,0.8846,17,0.16510000000000002
SLD00020,0.786435294117647,0.051559321916318804,0.6717,0.864,17,0.19230000000000003
SLD00021,0.8246411764705882,0.15610606994453938,0.2333,0.9527,17,0.7194
SLD00022,0.8266133333333333,0.03385046669158487,0.7729,0.8739,15,0.10099999999999998
SLD00023,0.8266133333333333,0.03385046669158487,0.7729,0.8739,15,0.10099999999999998
SLD00024,0.759,0.12864344134078506,0.3316,0.8653,17,0.5337
SLD00025,0.8272625,0.038052628030137425,0.7578,0.8867,16,0.12890000000000001
SLD00026,0.8578600000000001,0.06421560557995232,0.6416,0.915,15,0.2734000000000001
SLD00027,0.7468866666666667,0.05727963820050676,0.6487,0.833,15,0.1842999999999999
SLD00028,0.8103058823529412,0.05184589509532355,0.663,0.8973,17,0.23429999999999995
SLD00029,0.6584,0.09942294168517314,0.4927,0.8281,16,0.3353999999999999
SLD00030,0.8320705882352941,0.040348215027214716,0.7361,0.8973,17,0.1612
SLD00031,0.8505875,0.03017318621999781,0.8105,0.8991,16,0.08860000000000001
SLD00032,0.8422058823529412,0.029669270099469843,0.7932,0.9,17,0.1068
SLD00033,0.832,0.0413767597813072,0.7785,0.9286,17,0.1501
SLD00034,0.8125294117647059,0.04786352688511737,0.7327,0.9038,17,0.17110000000000003
SLD00035,0.8111875,0.038491503391441306,0.7421,0.868,16,0.1259
SLD00036,0.8575357142857143,0.028563952730747813,0.8098,0.9109,14,0.10110000000000008
SLD00037,0.8613,0.0411255862712478,0.806,0.9529,14,0.14689999999999992
SLD00038,0.7931875,0.16649884834436543,0.2002,0.8827,16,0.6825000000000001
SLD00039,0.8284235294117647,0.06307462375444427,0.6357,0.8937,17,0.258
SLD00040,0.8332705882352941,0.054738112461815445,0.7159,0.9178,17,0.20189999999999997
SLD00041,0.6983809523809524,0.0998234572585403,0.5184,0.9082,21,0.38980000000000004
SLD00042,0.85483125,0.042594533589026005,0.7855,0.9642,16,0.17869999999999997
SLD00043,0.7829,0.06753640288233981,0.7006,0.9091,15,0.20850000000000002
SLD00044,0.8327529411764706,0.05896925170848632,0.7145,0.9124,17,0.19789999999999996
SLD00045,0.75118125,0.10349853602024203,0.4445,0.8667,16,0.4222
SLD00046,0.79262,0.0565183307811343,0.6741,0.8689,15,0.19479999999999997
SLD00047,0.72740625,0.0926224484578838,0.5723,0.8556,16,0.2833
SLD00048,0.7971125,0.09779297776425465,0.6227,0.9393,16,0.3166
SLD00049,0.8337352941176471,0.06458464350347216,0.7456,0.9926,17,0.247
SLD00050,0.7894666666666666,0.09649350481036656,0.5427,0.9127,18,0.37
SLD00051,0.7651833333333333,0.07699327892744925,0.6018,0.8665,18,0.26470000000000005
SLD00052,0.7889882352941177,0.07430484407453644,0.6489,0.9035,17,0.25459999999999994
SLD00053,0.810235294117647,0.05435719755902241,0.6918,0.9034,17,0.2116
SLD00054,0.8280882352941177,0.05914325703697064,0.6738,0.9051,17,0.23130000000000006
SLD00055,0.8266625,0.04489587768752643,0.7445,0.9167,16,0.1721999999999999
SLD00056,0.8266625,0.04489587768752643,0.7445,0.9167,16,0.1721999999999999
SLD00057,0.6568944444444444,0.10750889688066158,0.4791,0.8422,18,0.3630999999999999
SLD00058,0.841325,0.04649083780703464,0.7479,0.9197,16,0.17179999999999995
SLD00059,0.82342,0.06619892316776325,0.6818,0.9304,15,0.24860000000000004
SLD00060,0.8105882352941176,0.05583803455478334,0.7303,0.9162,17,0.18590000000000007
SLD00061,0.8394066666666667,0.041252730934131045,0.7801,0.9291,15,0.14900000000000002
SLD00062,0.8197666666666666,0.04518210244059456,0.7265,0.9112,15,0.18469999999999998
SLD00063,0.7228166666666667,0.07664307842583207,0.5923,0.8841,18,0.29179999999999995
SLD00064,0.8043933333333333,0.0749212583475542,0.6771,0.9057,15,0.22859999999999991
SLD00065,0.769290909090909,0.09476591666331816,0.5413,0.887,22,0.3457
SLD00066,0.8283263157894737,0.07387635948818852,0.7075,0.9144,19,0.20689999999999997
SLD00067,0.811104761904762,0.07924182908155566,0.6574,0.8932,21,0.2358
SLD00068,0.83245,0.07140457378834168,0.6608,0.9128,20,0.2519999999999999
SLD00069,0.833647619047619,0.06635802603338667,0.6989,0.9269,21,0.22799999999999998
SLD00070,0.79962,0.07731730656675034,0.6688,0.9181,20,0.24930000000000008
SLD00071,0.8452941176470588,0.026496803358807115,0.8012,0.8805,17,0.07929999999999993
SLD00072,0.8248736842105263,0.06757046397901371,0.6774,0.8937,19,0.21630000000000005
SLD00073,0.77364375,0.07497342612552797,0.6687,0.9759,16,0.30720000000000003
SLD00074,0.77364375,0.07497342612552797,0.6687,0.9759,16,0.30720000000000003
SLD00075,0.78638125,0.05666475940417763,0.6605,0.8703,16,0.2098
SLD00076,0.7656,0.04683246737040451,0.6817,0.8881,14,0.20640000000000003
SLD00077,0.804375,0.08227390432775956,0.522,0.8901,16,0.3681
SLD00078,0.78616875,0.05072818701997278,0.6627,0.8749,16,0.21220000000000006
SLD00079,0.804375,0.08227390432775956,0.522,0.8901,16,0.3681
SLD00080,0.75778,0.05160591328243585,0.6765,0.8667,15,0.19020000000000004
SLD00081,0.7555866666666666,0.04805660154839245,0.6585,0.8362,15,0.17770000000000008
SLD00082,0.8075733333333334,0.037997377102461566,0.7524,0.9008,15,0.1484000000000001
SLD00083,0.7748285714285714,0.06373603531599842,0.6864,0.8742,14,0.18779999999999997
SLD00084,0.8029875,0.06788431212977951,0.6864,0.9055,16,0.21909999999999996
SLD00085,0.8006125,0.03851949939100111,0.6953,0.8744,16,0.17909999999999993
SLD00086,0.8524785714285714,0.04356291963393833,0.787,0.9785,14,0.1915
