S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg,ID,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
4834,1,1,12.7207,75.8521,Karnataka,Hassan,Sakleshpur,Soil,Slide,,,Uchangi,934.9067993164062,15.0964186476236,SLD04014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74288125,0.0496617521338101,0.6803,0.8152,16,0.1349,14.0,0.0,18.0,43.5,22.9,17.9,1.26,5.7
36807,0,0,17.090144,73.567457,Western Ghats Region,Background / Unspecified,,,,,,,204.2400054931641,8.111100341764356,SLD09478,0.248324479907751,0.0082774826635917,0.0496648959815502,0.0188254302390814,0.0,0.0,0.248324479907751,0.0,0.0,0.0496648959815502,0.710164705882353,0.0712955550961669,0.5847,0.8185,17,0.2338,9.0,0.0,24.0,35.0,19.9,17.3,1.31,6.1
3356,1,1,11.365278,76.818056,Tamil Nadu,Nilgiri,Coonoor,Soil,Slide,,,,2005.4071044921875,20.75057815804184,SLD03339,88.93313729763031,2.9644379099210103,45.39386749267578,8.355936996436409,11.562557697296144,22.80685782432556,88.93313729763031,8.57168197631836,8.57168197631836,45.39386749267578,0.7727875,0.0595447492787287,0.6822,0.8979,16,0.2157,2.0,0.0,24.2,36.7,24.6,33.0,1.04,5.6
6247,1,1,14.744972,74.663611,Karnataka,Uttar Kannada,Sirsi,Debris,Slide,,,West of Kanmuski,480.1721496582031,17.945247374161976,SLD05381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7911071428571429,0.0224958616462848,0.762,0.8244,14,0.0624,2.0,0.0,16.3,46.5,21.4,25.2,1.25,5.4
36197,0,0,13.503562,75.738508,Western Ghats Region,Background / Unspecified,,,,,,,1402.9957275390625,8.208056348764833,SLD08909,8.535255774855614,0.2845085258285204,0.8022371530532837,0.1021355529005921,1.7641457617282863,3.719783872365952,8.535255774855614,0.262065440416336,0.262065440416336,0.8022371530532837,0.7329399999999999,0.1377002323890558,0.3741,0.8733,15,0.4992,2.0,0.0,29.2,35.0,22.6,31.6,1.08,5.6
37196,0,0,14.033225,75.470074,Western Ghats Region,Background / Unspecified,,,,,,,649.8848876953125,1.6303941715609478,SLD09840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5349944444444444,0.1295504737985852,0.3943,0.8162,18,0.4219,12.0,0.0,24.2,36.1,19.3,10.3,1.38,6.4
581,1,1,9.868821,76.885135,Kerala,Idukki,Idukki,Debris,Flow,,,Chelakkad,171.9619140625,22.54761255057635,SLD00579,12.954566478729248,0.4318188826243083,6.756466388702393,1.3264584708870413,0.0,0.0,12.954566478729248,0.0,0.0,6.756466388702393,0.8378375,0.0278850228617442,0.7959,0.8865,16,0.0905999999999999,8.0,0.0,23.7,38.1,27.2,27.8,1.1,5.1
35875,0,0,14.615035,74.967614,Western Ghats Region,Background / Unspecified,,,,,,,589.2340087890625,3.816372442100096,SLD08610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67128125,0.077523710082787,0.5533,0.7853,16,0.2319999999999999,9.0,0.0,17.8,44.4,18.7,15.2,1.33,5.9
2012,1,1,10.220836,77.483703,Tamil Nadu,Dindigul,Kodaikanal,Debris,Slide,,,,2112.340576171875,29.518577791537155,SLD01996,5.587762534618378,0.1862587511539459,4.5893073081970215,0.8381198599059412,0.0,0.0,5.587762534618378,0.0,0.0,4.5893073081970215,0.7210733333333333,0.0964995371318778,0.4329,0.8067,15,0.3737999999999999,9.0,0.0,24.9,31.0,29.2,52.4,1.02,5.2
37299,0,0,14.73145,75.365867,Western Ghats Region,Background / Unspecified,,,,,,,573.0421752929688,0.5935565534273531,SLD09930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5062833333333333,0.1004343464218116,0.3723,0.7136,18,0.3413,12.0,0.0,38.2,30.4,25.7,10.0,1.43,7.2
1256,1,1,10.007979,76.934532,Kerala,Idukki,Devikulam,Debris,Slide,,,S P Kudi,805.2595825195312,23.927847647849458,SLD01240,9.348777875304222,0.3116259291768074,3.649027109146118,0.783109058032427,0.0,0.0,9.348777875304222,0.0,0.0,3.649027109146118,0.7572117647058824,0.0671950787107298,0.6258,0.8445,17,0.2187,8.0,0.0,28.3,35.1,23.2,31.0,1.1,5.0
40460,0,0,10.246826,77.31875,Western Ghats Region,Background / Unspecified,,,,,,,1315.8819580078125,49.00351138684341,SLD12843,12.772800642065704,0.4257600214021901,8.839096069335938,1.6361610419007675,0.0,0.0,12.772800642065704,0.0,0.0,8.839096069335938,0.7459222222222223,0.0544653430611727,0.6463,0.8089,18,0.1625999999999999,8.0,0.0,27.6,35.3,24.1,31.1,1.06,5.4
