ID,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC
SLD00001,0.8325384615384616,0.0317712799674364,0.7883,0.8817,13,0.0934,2.0,0.0
SLD00002,0.7948999999999999,0.0267821055272095,0.7358,0.8344,18,0.0986,8.0,0.0
SLD00003,0.7948999999999999,0.0267821055272095,0.7358,0.8344,18,0.0986,8.0,0.0
SLD00004,0.8007705882352941,0.0421312200853755,0.7033,0.8439,17,0.1405999999999999,8.0,0.0
SLD00005,0.7750315789473684,0.0475169332698189,0.6912,0.9225,19,0.2312999999999999,8.0,0.0
SLD00006,0.7622666666666666,0.0541400036941262,0.6485,0.8354,18,0.1869,8.0,0.0
SLD00007,0.801455,0.0484894722703045,0.6932,0.8618,20,0.1685999999999999,8.0,0.0
SLD00008,0.76063,0.0760419558706348,0.6126,0.8412,20,0.2285999999999999,8.0,0.0
SLD00009,0.76063,0.0760419558706348,0.6126,0.8412,20,0.2285999999999999,8.0,0.0
SLD00010,0.76063,0.0760419558706348,0.6126,0.8412,20,0.2285999999999999,8.0,0.0
SLD00011,0.8551166666666666,0.0638664714578047,0.7768,0.9808,18,0.2039999999999999,2.0,0.0
SLD00012,0.8046941176470588,0.0442179046115405,0.7358,0.8909,17,0.1551,8.0,0.0
SLD00013,0.8072684210526316,0.0452227825158905,0.6525,0.8542,19,0.2017,8.0,0.0
SLD00014,0.8484705882352941,0.0479315888103279,0.7677,0.9449,17,0.1771999999999999,2.0,0.0
SLD00015,0.8484705882352941,0.0479315888103279,0.7677,0.9449,17,0.1771999999999999,2.0,0.0
SLD00016,0.827475,0.0497998192767805,0.7394,0.9178,16,0.1784,8.0,0.0
SLD00017,0.8219095238095239,0.0589509873094751,0.6866,0.9229,21,0.2363,8.0,0.0
SLD00018,0.8371578947368421,0.044911076532651,0.7595,0.9275,19,0.168,2.0,0.0
SLD00019,0.8119176470588235,0.0457063485100007,0.7195,0.8846,17,0.1651,8.0,0.0
SLD00020,0.786435294117647,0.0515593219163188,0.6717,0.864,17,0.1923,8.0,0.0
SLD00021,0.8246411764705882,0.1561060699445393,0.2333,0.9527,17,0.7194,2.0,0.0
SLD00022,0.8266133333333333,0.0338504666915848,0.7729,0.8739,15,0.1009999999999999,8.0,0.0
SLD00023,0.8266133333333333,0.0338504666915848,0.7729,0.8739,15,0.1009999999999999,8.0,0.0
SLD00024,0.759,0.128643441340785,0.3316,0.8653,17,0.5337,8.0,0.0
SLD00025,0.8272625,0.0380526280301374,0.7578,0.8867,16,0.1289,8.0,0.0
SLD00026,0.8578600000000001,0.0642156055799523,0.6416,0.915,15,0.2734000000000001,8.0,0.0
SLD00027,0.7468866666666667,0.0572796382005067,0.6487,0.833,15,0.1842999999999999,8.0,0.0
SLD00028,0.8103058823529412,0.0518458950953235,0.663,0.8973,17,0.2342999999999999,2.0,0.0
SLD00029,0.6584,0.0994229416851731,0.4927,0.8281,16,0.3353999999999999,8.0,0.0
SLD00030,0.8320705882352941,0.0403482150272147,0.7361,0.8973,17,0.1612,2.0,0.0
SLD00031,0.8505875,0.0301731862199978,0.8105,0.8991,16,0.0886,2.0,0.0
SLD00032,0.8422058823529412,0.0296692700994698,0.7932,0.9,17,0.1068,2.0,0.0
SLD00033,0.832,0.0413767597813072,0.7785,0.9286,17,0.1501,2.0,0.0
SLD00034,0.8125294117647059,0.0478635268851173,0.7327,0.9038,17,0.1711,2.0,0.0
SLD00035,0.8111875,0.0384915033914413,0.7421,0.868,16,0.1259,2.0,0.0
SLD00036,0.8575357142857143,0.0285639527307478,0.8098,0.9109,14,0.1011,2.0,0.0
SLD00037,0.8613,0.0411255862712478,0.806,0.9529,14,0.1468999999999999,2.0,0.0
SLD00038,0.7931875,0.1664988483443654,0.2002,0.8827,16,0.6825000000000001,2.0,0.0
SLD00039,0.8284235294117647,0.0630746237544442,0.6357,0.8937,17,0.258,8.0,0.0
SLD00040,0.8332705882352941,0.0547381124618154,0.7159,0.9178,17,0.2018999999999999,2.0,0.0
SLD00041,0.6983809523809524,0.0998234572585403,0.5184,0.9082,21,0.3898,14.0,0.0
SLD00042,0.85483125,0.042594533589026,0.7855,0.9642,16,0.1786999999999999,2.0,0.0
SLD00043,0.7829,0.0675364028823398,0.7006,0.9091,15,0.2085,2.0,0.0
SLD00044,0.8327529411764706,0.0589692517084863,0.7145,0.9124,17,0.1978999999999999,8.0,0.0
SLD00045,0.75118125,0.103498536020242,0.4445,0.8667,16,0.4222,8.0,0.0
SLD00046,0.79262,0.0565183307811343,0.6741,0.8689,15,0.1947999999999999,8.0,0.0
SLD00047,0.72740625,0.0926224484578838,0.5723,0.8556,16,0.2833,8.0,0.0
SLD00048,0.7971125,0.0977929777642546,0.6227,0.9393,16,0.3166,2.0,0.0
SLD00049,0.8337352941176471,0.0645846435034721,0.7456,0.9926,17,0.247,2.0,0.0
SLD00050,0.7894666666666666,0.0964935048103665,0.5427,0.9127,18,0.37,8.0,0.0
SLD00051,0.7651833333333333,0.0769932789274492,0.6018,0.8665,18,0.2647,8.0,0.0
SLD00052,0.7889882352941177,0.0743048440745364,0.6489,0.9035,17,0.2545999999999999,2.0,0.0
SLD00053,0.810235294117647,0.0543571975590224,0.6918,0.9034,17,0.2116,8.0,0.0
SLD00054,0.8280882352941177,0.0591432570369706,0.6738,0.9051,17,0.2313,8.0,0.0
SLD00055,0.8266625,0.0448958776875264,0.7445,0.9167,16,0.1721999999999999,2.0,0.0
SLD00056,0.8266625,0.0448958776875264,0.7445,0.9167,16,0.1721999999999999,2.0,0.0
SLD00057,0.6568944444444444,0.1075088968806615,0.4791,0.8422,18,0.3630999999999999,8.0,0.0
SLD00058,0.841325,0.0464908378070346,0.7479,0.9197,16,0.1717999999999999,2.0,0.0
SLD00059,0.82342,0.0661989231677632,0.6818,0.9304,15,0.2486,2.0,0.0
