S.No,Latitude,Longitude,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
1,8.49,77.39,25.8,31.7,25.0,41.2,1.02,5.4
2,8.507778,77.189722,27.4,35.3,23.2,30.9,1.25,5.5
3,8.507833,77.189,26.5,35.6,23.7,29.0,1.28,5.4
4,8.508861,77.1575,26.3,39.0,19.3,26.5,1.28,5.4
5,8.509833,77.169139,22.3,35.4,25.5,29.4,1.36,5.4
6,8.510528,77.157944,29.7,38.1,19.5,30.6,1.4,5.4
7,8.519028,77.16775,21.8,35.8,23.8,30.2,1.27,5.4
8,8.54,77.47,24.1,36.7,24.6,32.0,1.28,5.6
9,8.54,77.47,24.1,36.7,24.6,32.0,1.28,5.6
10,8.54,77.47,24.1,36.7,24.6,32.0,1.28,5.6
11,8.56,77.4,27.5,33.5,24.7,65.4,0.78,5.1
12,8.58,77.43,25.9,37.1,21.7,41.5,1.17,5.5
13,8.588778,77.099083,29.7,39.3,18.6,26.5,1.27,5.4
14,8.59,77.35,27.1,33.9,24.2,47.8,1.0,5.3
15,8.59,77.35,27.1,33.9,24.2,47.8,1.0,5.3
16,8.64294,77.0712,30.2,29.7,22.0,25.9,1.18,5.3
17,8.703,77.114472,28.0,32.5,21.4,27.0,1.19,5.3
18,8.711083,77.143339,30.5,37.5,19.3,27.9,1.12,5.4
19,8.74275,77.13425,23.6,36.8,23.2,36.3,1.08,5.2
20,8.742944,77.132194,23.7,37.0,23.0,40.0,1.1,5.1
21,8.743139,77.161028,26.0,32.5,26.3,36.0,1.02,5.2
22,8.747056,77.132944,24.6,36.8,22.6,36.6,1.08,5.1
23,8.747056,77.132944,24.6,36.8,22.6,36.6,1.08,5.1
24,8.74875,77.130722,26.8,37.0,21.4,39.5,1.11,5.2
25,8.751889,77.071,27.5,37.2,19.4,26.4,1.23,5.3
26,8.75475,77.125389,22.8,35.8,24.9,32.7,1.06,5.1
27,8.758972,77.114917,24.8,32.9,24.8,45.1,1.1,5.4
28,8.763333,77.076861,24.5,37.9,21.0,24.0,1.22,5.3
29,8.763333,77.109556,23.2,36.7,26.0,36.5,1.1,5.1
30,8.764472,77.078611,26.5,37.9,21.0,24.2,1.2,5.3
31,8.766997,77.099767,22.2,37.6,22.8,31.9,1.15,5.1
32,8.768111,77.082278,27.6,40.5,19.1,27.0,1.14,5.3
33,8.807056,77.106833,28.5,36.3,21.8,31.0,1.13,5.2
34,8.807833,77.121694,27.7,36.4,21.9,27.9,1.2,5.3
35,8.809139,77.12625,28.3,36.4,21.0,25.9,1.2,5.3
36,8.832028,77.190336,27.4,29.8,23.0,45.6,1.06,5.2
37,8.842944,77.155417,23.2,36.7,23.1,33.9,1.2,5.2
38,8.846797,77.176111,30.5,32.4,20.5,42.2,1.08,5.1
39,8.871111,76.978056,30.8,31.9,21.7,23.7,1.12,5.2
40,8.88925,77.016916,27.4,36.6,20.2,31.1,1.12,5.2
41,8.9,77.3,27.0,42.1,20.2,30.2,1.26,5.5
42,8.913889,76.988889,30.5,31.1,22.0,29.0,1.11,5.2
43,8.944806,77.147503,28.4,35.3,22.1,32.9,1.11,5.3
44,8.951111,77.049444,28.8,35.2,20.5,32.0,1.14,5.2
45,8.96125,77.135342,27.5,42.8,20.4,31.1,1.14,5.4
46,8.964111,77.139056,25.5,41.5,21.3,27.8,1.15,5.5
47,8.965528,77.090472,30.5,34.5,19.9,31.1,1.22,5.4
48,8.968028,77.13825,26.8,40.9,20.2,27.6,1.2,5.5
49,8.971278,77.155222,30.0,40.0,20.1,27.8,1.15,5.4
50,8.984111,77.131806,26.9,39.5,21.4,27.8,1.14,5.3
51,8.984972,77.160667,30.0,39.9,20.2,29.1,1.18,5.4
52,8.999222,77.13325,28.6,36.5,21.7,27.8,1.16,5.3
53,8.999972,77.10525,25.5,35.0,23.7,30.9,1.15,5.3
56,9.000914,77.046006,20.9,38.5,20.6,32.7,1.1,5.2
57,9.002625,77.042514,26.8,32.9,17.8,32.2,1.1,5.2
58,9.003225,77.041883,28.2,32.9,17.8,32.0,1.12,5.2
59,9.011014,77.037508,25.4,31.5,18.5,31.4,1.2,5.2
60,9.019408,77.049903,25.7,37.8,19.8,32.0,1.15,5.4
61,9.022806,77.054992,26.6,38.9,21.1,31.3,1.13,5.3
