ID,Category,Latitude,Longitude
SLD_04001,Landslide,11.909194,75.999583
SLD_04002,Landslide,11.910056,75.998889
SLD_04003,Landslide,11.910208,75.861494
SLD_04004,Landslide,11.9106,75.861
SLD_04005,Landslide,11.912092,75.859483
SLD_04006,Landslide,11.912678,75.843178
SLD_04007,Landslide,11.9127,75.8405
SLD_04008,Landslide,11.914067,75.839586
SLD_04009,Landslide,11.915508,75.836161
SLD_04010,Landslide,11.918083,76.016539
SLD_04011,Landslide,11.979094,75.647503
SLD_04012,Landslide,11.989228,75.779136
SLD_04013,Landslide,12.69,75.07
SLD_04014,Landslide,12.7207,75.8521
SLD_04015,Landslide,12.7315,75.8191
SLD_04016,Landslide,12.75,75.2
SLD_04017,Landslide,12.75,75.03
SLD_04018,Landslide,12.76,75.2
SLD_04019,Landslide,12.77,75.05
SLD_04020,Landslide,12.8035,75.7657
SLD_04021,Landslide,12.82291,75.46516
SLD_04022,Landslide,12.82631,75.42779
SLD_04023,Landslide,12.82783,75.59866
SLD_04024,Landslide,12.828,75.64
SLD_04025,Landslide,12.82864,75.59741
SLD_04026,Landslide,12.82868,75.6013
SLD_04027,Landslide,12.8287,75.61331
SLD_04028,Landslide,12.82874,75.61061
SLD_04029,Landslide,12.82891,75.61145
SLD_04030,Landslide,12.82893,75.61404
SLD_04031,Landslide,12.829,75.63
SLD_04032,Landslide,12.829083,75.645417
SLD_04033,Landslide,12.82911,75.61095
SLD_04034,Landslide,12.82913,75.62238
SLD_04035,Landslide,12.82917,75.62067
SLD_04036,Landslide,12.82936,75.48357
SLD_04037,Landslide,12.82988,75.49436
SLD_04038,Landslide,12.83,75.635
SLD_04039,Landslide,12.83,75.635
SLD_04040,Landslide,12.83015,75.64713
SLD_04041,Landslide,12.83057,75.59327
SLD_04042,Landslide,12.83079,75.64701
SLD_04043,Landslide,12.83083,75.59396
SLD_04044,Landslide,12.83087,75.59372
SLD_04045,Landslide,12.83139,75.64685
SLD_04046,Landslide,12.83193,75.64689
SLD_04047,Landslide,12.83244,75.64711
SLD_04048,Landslide,12.833,75.65
SLD_04049,Landslide,12.833,75.648
SLD_04050,Landslide,12.833,75.648
SLD_04051,Landslide,12.8334,75.65279
SLD_04052,Landslide,12.834,75.654
SLD_04053,Landslide,12.83408,75.65329
SLD_04054,Landslide,12.83437,75.65434
SLD_04055,Landslide,12.835,75.656
SLD_04056,Landslide,12.835,75.588
SLD_04057,Landslide,12.839,75.66
SLD_04058,Landslide,12.83957,75.66188
SLD_04059,Landslide,12.8396,75.66058
SLD_04060,Landslide,12.83969,75.66936
SLD_04061,Landslide,12.83985,75.66091
SLD_04062,Landslide,12.83994,75.66534
SLD_04063,Landslide,12.83998,75.66656
SLD_04064,Landslide,12.841,75.675
SLD_04065,Landslide,12.841,75.674
SLD_04066,Landslide,12.84108,75.67449
SLD_04067,Landslide,12.84211,75.6757
SLD_04068,Landslide,12.84257,75.67643
SLD_04069,Landslide,12.843,75.677
SLD_04070,Landslide,12.843,75.677
