Feature,Importance
Slope_deg,0.20397993752958796
Soil_soc_0_5cm,0.09028278714729623
Soil_bdod_0_5cm,0.07875327768926542
Elevation_m,0.057052788771118454
NDVI_mean,0.0528639861678197
Land_Cover_Type,0.04760723652425693
Soil_clay_0_5cm,0.03948269229129797
Soil_sand_0_5cm,0.03803665254806982
Soil_phh2o_0_5cm,0.03565003604369932
rainfall_std_daily_mm,0.03280522222878159
NDVI_std,0.029343360675856002
NDVI_max,0.02927381469344644
Soil_silt_0_5cm,0.02916384853216599
NDVI_min,0.026693987810978998
rainfall_30d_mm,0.02590815980201325
NDVI_range,0.02559755522673385
rainfall_total_30d_mm,0.024854283808083733
rainfall_mean_daily_mm,0.022726244451128155
rainfall_max_daily_mm,0.02231430881700869
rainfall_max_30d_mm,0.021114134491420904
NDVI_valid_observations,0.01599506739673734
rainfall_7d_mm,0.0135198262662618
rainfall_max_7d_mm,0.013298837145946471
rainfall_15d_mm,0.011891689511305698
rainfall_max_15d_mm,0.011623856833438058
Land_Cover_QC,0.00016640759628122804
